[2025-08-05 01:22:58] [INFO    ] discord.client: logging in using static token
[2025-08-05 01:22:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'FirstBot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1401980782838288465', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0135', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'a88d43fd713f32030e949522de540e3a', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1118856177531502673'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'tel-aviv', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1401980782838288465', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-z8dr",{"micros":96012,"calls":["id_created",{"micros":692,"calls":[]},"session_lookup_time",{"micros":333,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-172",{"micros":94493,"calls":["start_session",{"micros":58900,"calls":["discord-api-rpc-b968f5cd6-9kn2f",{"micros":41728,"calls":["get_user",{"micros":7802},"get_guilds",{"micros":2068},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":7},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":5038},"apex_experiments",{"micros":2020},"user_activities",{"micros":3},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":56,"calls":[]},"presence_started",{"micros":4241,"calls":[]},"guilds_started",{"micros":57,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":31218,"calls":[]},"connect_finished",{"micros":31222,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-05 01:22:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:22:59] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: a88d43fd713f32030e949522de540e3a).
[2025-08-05 01:22:59] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-05 01:22:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'member_count': 2, 'emojis': [], 'owner_id': '785384958868586526', 'premium_features': None, 'vanity_url_code': None, 'public_updates_channel_id': None, 'voice_states': [], 'premium_tier': 0, 'profile': None, 'system_channel_flags': 0, 'rules_channel_id': None, 'nsfw_level': 0, 'afk_channel_id': None, 'home_header': None, 'application_id': None, 'unavailable': False, 'region': 'deprecated', 'splash': None, 'default_message_notifications': 0, 'id': '1118856177531502673', 'moderator_reporting': None, 'name': "Yash Khawale's server", 'safety_alerts_channel_id': None, 'icon': None, 'system_channel_id': '1118856177531502676', 'threads': [], 'inventory_settings': None, 'stage_instances': [], 'max_members': 25000000, 'explicit_content_filter': 0, 'application_command_counts': {}, 'description': None, 'discovery_splash': None, 'features': [], 'stickers': [], 'joined_at': '2025-08-04T17:39:24.413367+00:00', 'owner_configured_content_level': 0, 'roles': [{'version': 1686826500129, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1118856177531502673', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754330844120, 'unicode_emoji': None, 'tags': {'bot_id': '1401980782838288465'}, 'position': 2, 'permissions': '563242280021056', 'name': 'FirstBot', 'mentionable': False, 'managed': True, 'id': '1401982872427958395', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754330844595, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1401989776059535430', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'guild_scheduled_events': [], 'soundboard_sounds': [], 'activity_instances': [], 'verification_level': 0, 'presences': [], 'members': [{'user': {'username': 'FirstBot', 'public_flags': 0, 'primary_guild': None, 'id': '1401980782838288465', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0135', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401982872427958395'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T17:39:24.413367+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'max_stage_video_channel_users': 50, 'nsfw': False, 'large': False, 'latest_onboarding_question_id': None, 'lazy': True, 'incidents_data': None, 'premium_progress_bar_enabled': False, 'preferred_locale': 'en-US', 'premium_subscription_count': 0, 'version': 1754330796990, 'mfa_level': 0, 'embedded_activities': [], 'banner': None, 'channels': [{'version': 1686826500133, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1118856177531502674', 'flags': 0}, {'version': 1686826500138, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1118856177531502675', 'flags': 0}, {'version': 1686826500143, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1118856177531502674', 'name': 'general', 'last_message_id': '1402015480574644387', 'id': '1118856177531502676', 'flags': 0}, {'version': 1686826500154, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1118856177531502675', 'name': 'General', 'last_message_id': None, 'id': '1118856177531502677', 'flags': 0, 'bitrate': 64000}], 'hub_type': None, 'afk_timeout': 300, 'max_video_channel_users': 25}}
[2025-08-05 01:22:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'fa2fa87682722deddb38e66e096f3e39', 'members': [{'user': {'username': 'yashkhawale', 'public_flags': 0, 'primary_guild': None, 'id': '785384958868586526', 'global_name': 'Yash Khawale', 'display_name_styles': None, 'display_name': 'Yash Khawale', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401989776059535430'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-15T10:55:00.083000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'FirstBot', 'public_flags': 0, 'primary_guild': None, 'id': '1401980782838288465', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0135', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401982872427958395'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T17:39:24.413367+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1118856177531502673', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-05 01:23:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:00] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1118856177531502673.
[2025-08-05 01:23:01] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-05 01:23:01] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-05 01:23:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '785384958868586526', 'timestamp': 1754337186, 'member': {'user': {'username': 'yashkhawale', 'public_flags': 0, 'primary_guild': None, 'id': '785384958868586526', 'global_name': 'Yash Khawale', 'display_name_styles': None, 'display_name': 'Yash Khawale', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401989776059535430'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-15T10:55:00.083000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1118856177531502676', 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:06] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-05 01:23:06] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-05 01:23:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '785384958868586526', 'timestamp': 1754337194, 'member': {'user': {'username': 'yashkhawale', 'public_flags': 0, 'primary_guild': None, 'id': '785384958868586526', 'global_name': 'Yash Khawale', 'display_name_styles': None, 'display_name': 'Yash Khawale', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401989776059535430'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-15T10:55:00.083000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1118856177531502676', 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:14] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-05 01:23:14] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-05 01:23:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-04T19:53:17.772000+00:00', 'pinned': False, 'nonce': '1402016567377526784', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1401989776059535430'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-15T10:55:00.083000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1402016566962290770', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll is the new bot ok?', 'components': [], 'channel_type': 0, 'channel_id': '1118856177531502676', 'author': {'username': 'yashkhawale', 'public_flags': 0, 'primary_guild': None, 'id': '785384958868586526', 'global_name': 'Yash Khawale', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:18] [DEBUG   ] discord.client: Dispatching event message
[2025-08-05 01:23:18] [DEBUG   ] discord.client: Dispatching event command
[2025-08-05 01:23:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-04T19:53:18.174000+00:00', 'pinned': False, 'nonce': '7405958376336273171', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1401982872427958395'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T17:39:24.413367+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1402016568648405004', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1402016568648405005', 'description': 'is the new bot ok?', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1118856177531502676', 'author': {'username': 'FirstBot', 'public_flags': 0, 'primary_guild': None, 'id': '1401980782838288465', 'global_name': None, 'display_name_styles': None, 'discriminator': '0135', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:18] [DEBUG   ] discord.client: Dispatching event message
[2025-08-05 01:23:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1118856177531502676/messages with {"embeds":[{"flags":0,"type":"rich","description":"is the new bot ok?","title":"New Poll"}],"content":null,"components":[],"nonce":"7405958376336273171","enforce_nonce":true,"tts":false} has returned 200
[2025-08-05 01:23:18] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-05 01:23:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1118856177531502676/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'is the new bot ok?', 'content_scan_version': 0}], 'timestamp': '2025-08-04T19:53:18.174000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1402016568648405004', 'channel_id': '1118856177531502676', 'author': {'id': '1401980782838288465', 'username': 'FirstBot', 'avatar': None, 'discriminator': '0135', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '7405958376336273171'}
[2025-08-05 01:23:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1401980782838288465', 'type': 0, 'message_id': '1402016568648405004', 'message_author_id': '1401980782838288465', 'member': {'user': {'username': 'FirstBot', 'public_flags': 0, 'primary_guild': None, 'id': '1401980782838288465', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0135', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401982872427958395'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T17:39:24.413367+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '😎', 'id': None}, 'channel_id': '1118856177531502676', 'burst': False, 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:19] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-05 01:23:19] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-05 01:23:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1118856177531502676/messages/1402016568648405004/reactions/%F0%9F%98%8E/@me with None has returned 204
[2025-08-05 01:23:19] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-08-05 01:23:19] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-05 01:23:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1118856177531502676/messages/1402016568648405004/reactions/%F0%9F%98%8E/@me has received 
[2025-08-05 01:23:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 9, 'op': 0, 'd': {'user_id': '1401980782838288465', 'type': 0, 'message_id': '1402016568648405004', 'message_author_id': '1401980782838288465', 'member': {'user': {'username': 'FirstBot', 'public_flags': 0, 'primary_guild': None, 'id': '1401980782838288465', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0135', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401982872427958395'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T17:39:24.413367+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1118856177531502676', 'burst': False, 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:19] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-05 01:23:19] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-05 01:23:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1118856177531502676/messages/1402016568648405004/reactions/%F0%9F%91%8D/@me with None has returned 204
[2025-08-05 01:23:19] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-05 01:23:19] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1118856177531502676/messages/1402016568648405004/reactions/%F0%9F%91%8D/@me has received 
[2025-08-05 01:23:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 10, 'op': 0, 'd': {'user_id': '1401980782838288465', 'type': 0, 'message_id': '1402016568648405004', 'message_author_id': '1401980782838288465', 'member': {'user': {'username': 'FirstBot', 'public_flags': 0, 'primary_guild': None, 'id': '1401980782838288465', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0135', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401982872427958395'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T17:39:24.413367+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1118856177531502676', 'burst': False, 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:20] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-05 01:23:20] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-05 01:23:20] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1118856177531502676/messages/1402016568648405004/reactions/%F0%9F%91%8E/@me with None has returned 204
[2025-08-05 01:23:20] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-08-05 01:23:20] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1118856177531502676/messages/1402016568648405004/reactions/%F0%9F%91%8E/@me has received 
[2025-08-05 01:23:20] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-05 01:23:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 11, 'op': 0, 'd': {'user_id': '785384958868586526', 'type': 0, 'message_id': '1402016568648405004', 'message_author_id': '1401980782838288465', 'member': {'user': {'username': 'yashkhawale', 'public_flags': 0, 'primary_guild': None, 'id': '785384958868586526', 'global_name': 'Yash Khawale', 'display_name_styles': None, 'display_name': 'Yash Khawale', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401989776059535430'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-15T10:55:00.083000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '😎', 'id': None}, 'channel_id': '1118856177531502676', 'burst': False, 'guild_id': '1118856177531502673'}}
[2025-08-05 01:23:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:23:35] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-05 01:23:35] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-05 01:23:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 11.
[2025-08-05 01:23:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 01:24:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 12, 'op': 0, 'd': {'user_id': '785384958868586526', 'type': 0, 'message_id': '1402016568648405004', 'message_author_id': '1401980782838288465', 'member': {'user': {'username': 'yashkhawale', 'public_flags': 0, 'primary_guild': None, 'id': '785384958868586526', 'global_name': 'Yash Khawale', 'display_name_styles': None, 'display_name': 'Yash Khawale', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401989776059535430'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-15T10:55:00.083000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1118856177531502676', 'burst': False, 'guild_id': '1118856177531502673'}}
[2025-08-05 01:24:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:24:04] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-05 01:24:04] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-05 01:24:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 13, 'op': 0, 'd': {'user_id': '785384958868586526', 'type': 0, 'message_id': '1402016568648405004', 'message_author_id': '1401980782838288465', 'member': {'user': {'username': 'yashkhawale', 'public_flags': 0, 'primary_guild': None, 'id': '785384958868586526', 'global_name': 'Yash Khawale', 'display_name_styles': None, 'display_name': 'Yash Khawale', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1401989776059535430'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-15T10:55:00.083000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1118856177531502676', 'burst': False, 'guild_id': '1118856177531502673'}}
[2025-08-05 01:24:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:24:05] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-08-05 01:24:05] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-08-05 01:24:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_REMOVE', 's': 14, 'op': 0, 'd': {'user_id': '785384958868586526', 'type': 0, 'message_id': '1402016568648405004', 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1118856177531502676', 'burst': False, 'guild_id': '1118856177531502673'}}
[2025-08-05 01:24:06] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 01:24:06] [DEBUG   ] discord.client: Dispatching event raw_reaction_remove
[2025-08-05 01:24:06] [DEBUG   ] discord.client: Dispatching event reaction_remove
[2025-08-05 01:24:21] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 14.
[2025-08-05 01:24:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 01:25:03] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 14.
[2025-08-05 01:25:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 01:25:44] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 14.
